# ----------------------------------------
# 1 Master View
# Огляд аудиторії
# 20190301-20190430
# ----------------------------------------

Індекс години,Діапазон дат,Сегмент,Сер. тривалість сеансу
000096,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:55
000096,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:51
000097,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:56
000097,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:13
000097,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:09
000098,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:40
000098,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:23
000098,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:36
000099,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:34
000099,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:57
000099,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:44
000100,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:10
000100,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:24
000100,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:27
000101,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:45
000101,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:30
000101,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:28
000102,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:15
000102,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:25
000102,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:50
000103,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:28
000103,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:57
000103,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:42
000104,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:15
000104,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:05
